Total tokens: 99965
Total types: 4778
Token upper bound: 76922
Type upper bound: 3424
Number of syllables with multiple stress contours: 85
Total number of syllables: 317
Total number of unique syllables: 168
Upper bound compatibility by tokens: 0.769489321262
Upper bound compatibility by types: 0.716617831729
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
XxxLlx	1	1	0.0	0.02
PxXxp	1	1	0.0	0.02
PxXl	2	1	0.0	0.02
Xlpl	1	1	0.0	0.02
pAl	9	1	0.01	0.02
xpXp	1	1	0.0	0.02
lA	251	2	0.25	0.04
PlPxLxp	1	1	0.0	0.02
XlLl	2	2	0.0	0.04
Plp	28	7	0.03	0.15
xPp	196	33	0.2	0.69
pLxpl	3	1	0.0	0.02
XxP	22	7	0.02	0.15
XpLp	3	2	0.0	0.04
LPxl	1	1	0.0	0.02
xPxp	4	3	0.0	0.06
Xxl	327	30	0.33	0.63
pLp	67	11	0.07	0.23
PL	977	89	0.98	1.86
LpA	1	1	0.0	0.02
XpLxl	1	1	0.0	0.02
LA	86	16	0.09	0.33
LLxp	4	1	0.0	0.02
Plpl	2	1	0.0	0.02
XpPp	215	3	0.22	0.06
PPp	1	1	0.0	0.02
lXp	8	2	0.01	0.04
xXa	3	3	0.0	0.06
Lxxl	2	1	0.0	0.02
xL	3713	162	3.71	3.39
Lla	1	1	0.0	0.02
xLxLp	1	1	0.0	0.02
pXxLp	1	1	0.0	0.02
Plxl	48	1	0.05	0.02
xLxp	6	4	0.01	0.08
AX	8	3	0.01	0.06
xPxl	3	2	0.0	0.04
AxL	1	1	0.0	0.02
PlL	10	3	0.01	0.06
LxA	25	8	0.03	0.17
XxXp	11	5	0.01	0.1
Pxp	102	20	0.1	0.42
PxLLp	1	1	0.0	0.02
LLL	53	3	0.05	0.06
XlP	273	8	0.27	0.17
XxPxl	3	1	0.0	0.02
lXxp	1	1	0.0	0.02
xXpp	1	1	0.0	0.02
XlLp	7	4	0.01	0.08
xXxa	2	2	0.0	0.04
PpPx	1	1	0.0	0.02
PxPp	1	1	0.0	0.02
XpL	160	32	0.16	0.67
PXp	67	9	0.07	0.19
pPp	14	7	0.01	0.15
xLll	8	1	0.01	0.02
xPa	4	3	0.0	0.06
PLp	20	7	0.02	0.15
PlXpp	1	1	0.0	0.02
LXxp	8	1	0.01	0.02
PlP	4	4	0.0	0.08
AXx	1	1	0.0	0.02
PxLp	10	7	0.01	0.15
pP	184	23	0.18	0.48
pXxXxl	1	1	0.0	0.02
xlL	81	1	0.08	0.02
xPpl	4	1	0.0	0.02
XxXl	28	6	0.03	0.13
PpXx	16	1	0.02	0.02
xXxx	2	1	0.0	0.02
lLxP	4	1	0.0	0.02
xXxLp	58	2	0.06	0.04
pAp	12	1	0.01	0.02
AL	143	15	0.14	0.31
XLla	5	1	0.01	0.02
lLl	2	1	0.0	0.02
LXl	159	10	0.16	0.21
XL	1509	19	1.51	0.4
pLxl	1	1	0.0	0.02
PxP	8	4	0.01	0.08
xLL	58	3	0.06	0.06
lLxL	1	1	0.0	0.02
XA	3	2	0.0	0.04
PXl	123	14	0.12	0.29
ppL	2	1	0.0	0.02
XxPp	11	3	0.01	0.06
L	6390	306	6.39	6.4
XxX	1	1	0.0	0.02
AP	10	5	0.01	0.1
Pp	3251	208	3.25	4.35
Lxp	163	32	0.16	0.67
LpL	33	17	0.03	0.36
XlL	562	29	0.56	0.61
xxL	7	1	0.01	0.02
Pxa	19	6	0.02	0.13
xLlL	3	2	0.0	0.04
LLx	103	4	0.1	0.08
LxXl	2	1	0.0	0.02
LxxL	7	1	0.01	0.02
PxPxp	1	1	0.0	0.02
XlXp	17	3	0.02	0.06
LxLpL	54	1	0.05	0.02
LaLa	1	1	0.0	0.02
xXlp	3	2	0.0	0.04
Xxxp	2	2	0.0	0.04
LlA	3	1	0.0	0.02
LpLp	9	2	0.01	0.04
PPxP	1	1	0.0	0.02
pXpLl	1	1	0.0	0.02
pLa	38	8	0.04	0.17
Pl	4039	163	4.04	3.41
LpXp	2	2	0.0	0.04
XLp	3	1	0.0	0.02
Ppp	76	5	0.08	0.1
Xpl	172	22	0.17	0.46
PxAl	1	1	0.0	0.02
XxXxl	1	1	0.0	0.02
Ppl	25	5	0.03	0.1
LxPp	2	1	0.0	0.02
xPxP	2	1	0.0	0.02
XP	346	5	0.35	0.1
pAa	1	1	0.0	0.02
aL	1	1	0.0	0.02
pXa	4	3	0.0	0.06
A	648	83	0.65	1.74
xlP	65	1	0.07	0.02
lLpL	2	1	0.0	0.02
pLxp	3	3	0.0	0.06
PlXp	2	2	0.0	0.04
Lx	843	56	0.84	1.17
LaL	1	1	0.0	0.02
Xxx	163	2	0.16	0.04
LxL	718	30	0.72	0.63
