Total tokens: 99968
Total types: 4780
Token upper bound: 76912
Type upper bound: 3439
Number of syllables with multiple stress contours: 92
Total number of syllables: 332
Total number of unique syllables: 170
Upper bound compatibility by tokens: 0.769366197183
Upper bound compatibility by types: 0.719456066946
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
xP	1598	16	1.6	0.33
XxLx	16	8	0.02	0.17
pPxLp	1	1	0.0	0.02
xXx	188	5	0.19	0.1
AXl	13	2	0.01	0.04
Xal	1	1	0.0	0.02
PpA	55	6	0.06	0.13
Al	96	12	0.1	0.25
ALp	4	3	0.0	0.06
AXp	1	1	0.0	0.02
lLx	78	4	0.08	0.08
Xlp	65	22	0.07	0.46
LxLp	23	9	0.02	0.19
Xp	11421	472	11.42	9.87
PxXxp	1	1	0.0	0.02
LLLp	2	1	0.0	0.02
PxXl	2	1	0.0	0.02
Xlpl	1	1	0.0	0.02
pAl	9	1	0.01	0.02
xpXp	1	1	0.0	0.02
lA	251	2	0.25	0.04
PlPxLxp	1	1	0.0	0.02
XlLl	2	2	0.0	0.04
Plp	28	8	0.03	0.17
xPp	198	39	0.2	0.82
pLxpl	3	1	0.0	0.02
XxP	21	6	0.02	0.13
XpLp	3	3	0.0	0.06
LPxl	1	1	0.0	0.02
xPxp	4	3	0.0	0.06
Xxl	328	31	0.33	0.65
pLp	172	23	0.17	0.48
PL	977	89	0.98	1.86
XxxLlp	1	1	0.0	0.02
LpA	1	1	0.0	0.02
XpLxl	1	1	0.0	0.02
LA	108	23	0.11	0.48
LLxp	4	1	0.0	0.02
Plpl	2	1	0.0	0.02
XpPp	215	3	0.22	0.06
PPp	1	1	0.0	0.02
lXp	8	2	0.01	0.04
xXa	13	7	0.01	0.15
Lxxl	2	1	0.0	0.02
xL	3669	145	3.67	3.03
Lla	4	4	0.0	0.08
xLxLp	1	1	0.0	0.02
pXxLp	1	1	0.0	0.02
Plxl	48	1	0.05	0.02
xLxp	6	4	0.01	0.08
xPxl	3	2	0.0	0.04
AxL	1	1	0.0	0.02
PlL	9	2	0.01	0.04
LxA	24	7	0.02	0.15
XxXp	11	5	0.01	0.1
Pxp	77	21	0.08	0.44
LLL	51	2	0.05	0.04
XlP	273	8	0.27	0.17
XxPxl	3	1	0.0	0.02
lXxp	1	1	0.0	0.02
xXpp	1	1	0.0	0.02
XlLp	10	6	0.01	0.13
xXxa	3	3	0.0	0.06
XxA	14	3	0.01	0.06
XXp	2	1	0.0	0.02
XpL	154	27	0.15	0.56
PxPp	34	2	0.03	0.04
PXp	74	14	0.07	0.29
pPp	22	13	0.02	0.27
xLll	8	1	0.01	0.02
xPa	18	10	0.02	0.21
PLp	17	4	0.02	0.08
PlXpp	1	1	0.0	0.02
LXxp	8	1	0.01	0.02
PlP	4	4	0.0	0.08
AXx	1	1	0.0	0.02
PxLp	14	9	0.01	0.19
pP	165	13	0.17	0.27
pXxXxl	1	1	0.0	0.02
xlL	81	1	0.08	0.02
xPpl	4	1	0.0	0.02
XxXl	28	6	0.03	0.13
PpXx	16	1	0.02	0.02
xXxx	2	1	0.0	0.02
lLxP	4	1	0.0	0.02
xXxLp	58	2	0.06	0.04
pAp	12	1	0.01	0.02
AL	143	15	0.14	0.31
XLla	5	1	0.01	0.02
lLl	2	1	0.0	0.02
LXl	159	10	0.16	0.21
XL	1499	17	1.5	0.36
pLxl	1	1	0.0	0.02
PxP	8	4	0.01	0.08
xLL	58	3	0.06	0.06
lLxL	1	1	0.0	0.02
XA	1	1	0.0	0.02
PXl	123	14	0.12	0.29
ppL	2	1	0.0	0.02
XxPp	10	2	0.01	0.04
XxX	1	1	0.0	0.02
AP	16	7	0.02	0.15
LXla	1	1	0.0	0.02
Pp	3749	230	3.75	4.81
Lxp	158	36	0.16	0.75
PpXp	1	1	0.0	0.02
LpL	32	16	0.03	0.33
XlL	441	25	0.44	0.52
xxL	7	1	0.01	0.02
Pxa	49	9	0.05	0.19
xLlL	3	2	0.0	0.04
LLx	8	1	0.01	0.02
LxXl	2	1	0.0	0.02
LxxL	7	1	0.01	0.02
PxPxp	1	1	0.0	0.02
XlXp	17	3	0.02	0.06
LxLpL	54	1	0.05	0.02
LaLa	1	1	0.0	0.02
xXlp	3	2	0.0	0.04
Xxxp	2	2	0.0	0.04
LlA	3	1	0.0	0.02
LpLp	14	4	0.01	0.08
PPxP	1	1	0.0	0.02
pXpLl	1	1	0.0	0.02
pLa	43	11	0.04	0.23
Pl	4024	160	4.03	3.35
LpXp	2	2	0.0	0.04
XLp	13	3	0.01	0.06
Ppp	90	10	0.09	0.21
Xpl	172	22	0.17	0.46
AlA	2	1	0.0	0.02
PxAl	1	1	0.0	0.02
XxXxl	1	1	0.0	0.02
Ppl	25	5	0.03	0.1
LxPp	2	1	0.0	0.02
xPxP	2	1	0.0	0.02
XP	346	5	0.35	0.1
pXll	4	1	0.0	0.02
pAa	1	1	0.0	0.02
aL	1	1	0.0	0.02
pXa	13	7	0.01	0.15
xlP	65	1	0.07	0.02
pLxp	3	3	0.0	0.06
PlXp	2	2	0.0	0.04
xLpp	3	2	0.0	0.04
Lx	534	47	0.53	0.98
LaL	1	1	0.0	0.02
Xxx	163	2	0.16	0.04
LxL	711	28	0.71	0.59
