Total tokens: 99965
Total types: 4778
Token upper bound: 76559
Type upper bound: 3381
Number of syllables with multiple stress contours: 70
Total number of syllables: 255
Total number of unique syllables: 125
Upper bound compatibility by tokens: 0.765858050318
Upper bound compatibility by types: 0.707618250314
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
XxX	1	1	0.0	0.02
Xxxc	2	2	0.0	0.04
xXcc	1	1	0.0	0.02
CcCxc	1	1	0.0	0.02
xLlc	5	3	0.01	0.06
Cc	3568	244	3.57	5.11
Llc	528	15	0.53	0.31
XlCc	6	3	0.01	0.06
LcC	9	5	0.01	0.1
xX	193	3	0.19	0.06
CxCc	6	2	0.01	0.04
Cxc	121	26	0.12	0.54
Llcl	3	1	0.0	0.02
xXc	721	36	0.72	0.75
cXxXxl	1	1	0.0	0.02
LXxc	8	1	0.01	0.02
CL	1120	104	1.12	2.18
XlL	562	29	0.56	0.61
XlXc	17	3	0.02	0.06
ClXc	3	3	0.0	0.06
XC	349	7	0.35	0.15
xxL	7	1	0.01	0.02
xLlL	3	2	0.0	0.04
Clx	1	1	0.0	0.02
xCc	200	36	0.2	0.75
LLx	103	4	0.1	0.08
CxLl	3	2	0.0	0.04
LXlc	1	1	0.0	0.02
LxXl	2	1	0.0	0.02
LxxL	7	1	0.01	0.02
cXcc	1	1	0.0	0.02
Xcx	2	2	0.0	0.04
cXxl	3	3	0.0	0.06
LLlc	1	1	0.0	0.02
LLLl	1	1	0.0	0.02
lLcL	2	1	0.0	0.02
XcLc	3	2	0.0	0.04
LxCx	1	1	0.0	0.02
LLl	12	7	0.01	0.15
Clxl	48	1	0.05	0.02
cXcLl	1	1	0.0	0.02
Cx	193	22	0.19	0.46
xcLxl	1	1	0.0	0.02
LXx	4	2	0.0	0.04
Xcl	173	23	0.17	0.48
xLcl	1	1	0.0	0.02
LXxx	3	1	0.0	0.02
LlL	61	17	0.06	0.36
ClCl	16	1	0.02	0.02
CcLx	1	1	0.0	0.02
XxXxl	1	1	0.0	0.02
xC	1760	68	1.76	1.42
Xx	8059	26	8.06	0.54
lXXcL	2	1	0.0	0.02
Cxl	86	17	0.09	0.36
LcL	34	18	0.03	0.38
cXc	64	26	0.06	0.54
lL	747	11	0.75	0.23
cXxL	2	2	0.0	0.04
CxXc	3	3	0.0	0.06
cXx	43	3	0.04	0.06
lXxL	8	3	0.01	0.06
CxL	43	20	0.04	0.42
CxxXc	1	1	0.0	0.02
