Total tokens: 99968
Total types: 4780
Token upper bound: 76531
Type upper bound: 3400
Number of syllables with multiple stress contours: 73
Total number of syllables: 256
Total number of unique syllables: 123
Upper bound compatibility by tokens: 0.765554977593
Upper bound compatibility by types: 0.71129707113
Word Form	Token Count	Type Count	Token Percentage	Type Percentage
xCl	3	3	0.0	0.06
LlLc	17	5	0.02	0.1
CxCxl	1	1	0.0	0.02
LCxl	1	1	0.0	0.02
xLll	8	1	0.01	0.02
LxCc	2	1	0.0	0.02
CcL	175	18	0.18	0.38
Lxc	179	45	0.18	0.94
ClXcc	1	1	0.0	0.02
LLc	219	26	0.22	0.54
CxCl	1	1	0.0	0.02
CLc	24	10	0.02	0.21
Lcl	21	5	0.02	0.1
xlL	81	1	0.08	0.02
LxLc	24	10	0.02	0.21
LLLc	2	1	0.0	0.02
XxXl	28	6	0.03	0.13
xXxx	2	1	0.0	0.02
cLxcl	3	1	0.0	0.02
XlLc	10	6	0.01	0.13
cCl	9	1	0.01	0.02
cXcl	1	1	0.0	0.02
CcXL	1	1	0.0	0.02
LXl	159	10	0.16	0.21
XL	1499	17	1.5	0.36
lLl	2	1	0.0	0.02
xLL	58	3	0.06	0.06
cCxl	1	1	0.0	0.02
lLxL	1	1	0.0	0.02
XxXc	11	5	0.01	0.1
xXcc	1	1	0.0	0.02
Xxxc	2	2	0.0	0.04
XxX	1	1	0.0	0.02
CcCxc	1	1	0.0	0.02
Cc	4269	317	4.27	6.63
LcC	9	5	0.01	0.1
XlCc	6	3	0.01	0.06
CxCc	40	4	0.04	0.08
Cxc	126	30	0.13	0.63
lClc	1	1	0.0	0.02
cXxXxl	1	1	0.0	0.02
CL	1120	104	1.12	2.18
XlL	441	25	0.44	0.52
ClXc	3	3	0.0	0.06
xLlL	3	2	0.0	0.04
xxL	7	1	0.01	0.02
xCxLc	3	2	0.0	0.04
CxLl	3	2	0.0	0.04
LLx	8	1	0.01	0.02
xCc	219	50	0.22	1.05
LxXl	2	1	0.0	0.02
cXcc	4	3	0.0	0.06
LxxL	7	1	0.01	0.02
Xcx	1	1	0.0	0.02
LLlc	1	1	0.0	0.02
Clxl	48	1	0.05	0.02
Cx	186	16	0.19	0.33
xcLxl	1	1	0.0	0.02
XxxLlc	1	1	0.0	0.02
xC	1733	53	1.73	1.11
XxXxl	1	1	0.0	0.02
lXXcL	2	1	0.0	0.02
Cxl	86	17	0.09	0.36
cXc	67	28	0.07	0.59
LcL	33	17	0.03	0.36
cXxL	2	2	0.0	0.04
CxL	37	16	0.04	0.33
CxxXc	1	1	0.0	0.02
LcXc	2	2	0.0	0.04
Lx	534	47	0.53	0.98
LxLcL	54	1	0.05	0.02
xcXc	1	1	0.0	0.02
Xxx	163	2	0.16	0.04
xLcc	3	2	0.0	0.04
LxL	711	28	0.71	0.59
